Exam,Section(s),Day,Date,Start,Finish,Location,,,,,,
CS 100,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
CS 105,"001,002",Thursday,"December 8, 2016",4:00 PM,6:30 PM,M3 1006,,,,,,
CS 115,001 to 009,Thursday,"December 15, 2016",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8",,,,,,
CS 116,001 to 003,Thursday,"December 15, 2016",9:00 AM,11:30 AM,"STC 0060,1012",,,,,,
CS 135,001 to 011,Thursday,"December 15, 2016",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7,8,11,12",,,,,,
CS 136,001 to 003,Thursday,"December 15, 2016",9:00 AM,11:30 AM,"DC 1350,1351",,,,,,
CS 137,001,Thursday,"December 15, 2016",12:30 PM,3:00 PM,"STC 0010,0020",,,,,,
CS 145,001,Thursday,"December 15, 2016",12:30 PM,3:00 PM,"MC 2034,2035",,,,,,
CS 200,001,Thursday,"December 15, 2016",12:30 PM,3:00 PM,TBA,,,,,,
CS 200L,,Saturday,"December 10, 2016",12:30 PM,3:00 PM,TBA,,,,,,
CS 234,"001,002",Wednesday,"December 14, 2016",7:30 PM,10:00 PM,"PAC 1,2,3",,,,,,
CS 240,001 to 003,Monday,"December 12, 2016",4:00 PM,6:30 PM,STC 1012,,,,,,
CS 241,001 to 005,Saturday,"December 17, 2016",12:30 PM,3:00 PM,"PAC 4,5,6",,,,,,
CS 245,001 to 007,Thursday,"December 15, 2016",4:00 PM,6:30 PM,"PAC 4,5,6,7,11",,,,,,
CS 246,001 to 007,Tuesday,"December 20, 2016",9:00 AM,11:30 AM,"PAC 1,2,3,4,5",,,,,,
CS 251,001 to 003,Thursday,"December 22, 2016",9:00 AM,11:30 AM,"PAC 4,5",,,,,,
CS 330,"001,002",Monday,"December 12, 2016",7:30 PM,10:00 PM,"PAC 4,5",,,,,,
CS 335,001,Wednesday,"December 21, 2016",12:30 PM,3:00 PM,"PAC 7,8",,,,,,
CS 338,001,Monday,"December 12, 2016",12:30 PM,3:00 PM,"MC 4059,4061",,,,,,
CS 341,001 to 004,Monday,"December 12, 2016",7:30 PM,10:00 PM,"PAC 1,2,3",,,,,,
CS 343,001 to 004,Saturday,"December 17, 2016",9:00 AM,11:30 AM,"DC 1350,1351",,,,,,
CS 348,001 to 005,Tuesday,"December 20, 2016",9:00 AM,11:30 AM,"PAC 6,7,8",,,,,,
CS 349,"001,002",Monday,"December 19, 2016",12:30 PM,3:00 PM,M3 1006,,,,,,
CS 350,001 to 005,Friday,"December 16, 2016",12:30 PM,3:00 PM,"PAC 7,8,11,12",,,,,,
CS 360,001,Saturday,"December 17, 2016",4:00 PM,6:30 PM,PAC 11,,,,,,
CS 370,"001,002",Friday,"December 9, 2016",7:30 PM,10:00 PM,TBA,,,,,,
CS 430,001,Friday,"December 16, 2016",4:00 PM,6:30 PM,MC 1085,,,,,,
CS 432,001,Thursday,"December 15, 2016",4:00 PM,6:30 PM,TBA,,,,,,
CS 445,001,Wednesday,"December 21, 2016",4:00 PM,6:30 PM,PAC 5,,,,,,
CS 456,"001,002",Thursday,"December 15, 2016",12:30 PM,3:00 PM,M3 1006,,,,,,
