Exam,Section,Day,Date,Start,End,Location
NE 334,001,Wednesday,"August 10, 2011",9:00 AM,11:30 AM,PAC 8
NE 343,001,Friday,"August 5, 2011",9:00 AM,11:30 AM,PAC 7
NE 344,001,Tuesday,"August 9, 2011",12:30 PM,3:00 PM,PAC 4
PACS 314,001,Thursday,"August 4, 2011",4:00 PM,6:00 PM,CGC 1111
PHIL 145,001,Monday,"August 8, 2011",9:00 AM,11:30 AM,STJ 2017
PHIL 145,002,Monday,"August 8, 2011",9:00 AM,11:30 AM,MC 4059
PHIL 215,001,Wednesday,"August 10, 2011",12:30 PM,3:00 PM,DC 1350
PHIL 220,001,Tuesday,"August 9, 2011",7:30 PM,10:00 PM,MC 4059
PHYS 112,001,Saturday,"August 13, 2011",7:30 PM,10:00 PM,PAC 1
PHYS 122,001,Monday,"August 8, 2011",12:30 PM,3:00 PM,PAC 6
