Exam,Section(s),Day,Date,Start,Finish,Location
PHIL 120J,001,Wednesday,"December 20, 2017",7:30 PM,10:00 PM,Sched Only
PHIL 145,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
PHIL 202,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
PHIL 215,001,Tuesday,"December 19, 2017",9:00 AM,11:30 AM,Sched Only
PHIL 215,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
PHIL 226,001,Thursday,"December 14, 2017",4:00 PM,6:30 PM,TBA
PHIL 240,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
PHIL 258,001,Saturday,"December 9, 2017",9:00 AM,11:30 AM,Sched Only
PHIL 265,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
PHIL 283,001,Thursday,"December 7, 2017",12:30 PM,3:00 PM,Sched Only
PHIL 284,001,Thursday,"December 7, 2017",12:30 PM,2:30 PM,Sched Only
PHIL 319J,001,Wednesday,"December 20, 2017",7:30 PM,10:00 PM,Sched Only
PHYS 111,001 to 004,Monday,"December 11, 2017",4:00 PM,6:30 PM,TBA
PHYS 115,001 to 004,Tuesday,"December 12, 2017",9:00 AM,11:30 AM,TBA
